"aktuelle Probe"	"17"
"Einspannlänge"	832.756	"mm"
"Messlänge"	"nicht bekannt"
"Probenbreite b0"	11.4	"mm"
"Probendicke a0"	0.2	"mm"
"Prüfgeschwindigkeit"	150	"mm/min"
"Vorkraft"	0.2	"N"
"Weg nach Bruch"	5	"mm"
"E-Modul"	1127.12	"N/mm²"
"Dehnung bei Fmax"	306.402	"%"
"Dehnung bei Bruch"	309.236	"%"
"obere Streckgrenze"	"nicht bekannt"
"Kraftmaximum"	37.9483	"N/mm²"
"Bruchkraft"	"nicht bekannt"
"Geschwindigkeit E-Modul"	1	"%L0/min"
"Datum"	"20.02.2008"
"Prüfzeit"	"Standardweg"	"Standardkraft"	"Dehnung"	"Traverse abs."
"s"	"mm"	"N"	"%"	"mm"
18.16	1.92819	42.3632	2.41024	787.103
18.17	1.93477	42.4022	2.41846	787.11
18.18	1.9418	42.4392	2.42725	787.117
18.19	1.94911	42.4649	2.43639	787.124
18.2	1.95619	42.5014	2.44524	787.131
18.21	1.96324	42.5381	2.45404	787.138
18.22	1.97004	42.5633	2.46255	787.145
18.23	1.97634	42.5981	2.47042	787.151
18.24	1.98244	42.6318	2.47805	787.157
18.25	1.98871	42.6559	2.48589	787.164
18.26	1.99507	42.691	2.49384	787.17
18.27	2.00161	42.7188	2.50202	787.177
18.28	2.00865	42.7418	2.51081	787.184
18.29	2.01589	42.7745	2.51986	787.191
18.3	2.02299	42.8035	2.52873	787.198
18.31	2.03003	42.8261	2.53754	787.205
18.32	2.03684	42.8565	2.54605	787.212
18.33	2.04317	42.8855	2.55396	787.218
18.34	2.0493	42.9077	2.56163	787.224
18.35	2.05557	42.9385	2.56946	787.231
18.36	2.0619	42.9616	2.57738	787.237
18.37	2.06849	42.9833	2.58562	787.243
18.38	2.07546	43.0121	2.59432	787.25
18.39	2.0826	43.0378	2.60326	787.258
18.4	2.08957	43.0554	2.61196	787.265
18.41	2.09644	43.0807	2.62055	787.271
18.42	2.10308	43.1083	2.62885	787.278
18.43	2.10931	43.1246	2.63664	787.284
18.44	2.11543	43.1492	2.64429	787.29
18.45	2.1218	43.174	2.65225	787.297
18.46	2.12831	43.1915	2.66038	787.303
18.47	2.135	43.2166	2.66875	787.31
18.48	2.14216	43.2409	2.6777	787.317
18.49	2.14952	43.2574	2.68689	787.325
18.51	2.16377	43.3051	2.70472	787.339
18.53	2.17668	43.3388	2.72085	787.352
18.55	2.18872	43.3697	2.73591	787.364
18.57	2.20132	43.4128	2.75165	787.376
18.59	2.2154	43.4462	2.76925	787.39
18.61	2.22953	43.4785	2.78691	787.405
18.63	2.24281	43.522	2.80351	787.418
18.65	2.25541	43.5562	2.81926	787.43
18.67	2.26857	43.5863	2.83572	787.444
18.69	2.28291	43.6206	2.85364	787.458
18.71	2.29685	43.6479	2.87106	787.472
18.73	2.30962	43.6751	2.88703	787.485
18.75	2.32185	43.7088	2.90231	787.497
18.77	2.3348	43.7377	2.9185	787.51
18.79	2.34911	43.7629	2.93639	787.524
18.81	2.36324	43.8005	2.95404	787.538
18.83	2.37635	43.8274	2.97044	787.551
18.85	2.38872	43.8521	2.98591	787.564
18.87	2.40163	43.8832	3.00204	787.577
18.89	2.41589	43.9092	3.01986	787.591
18.91	2.43005	43.9318	3.03756	787.605
18.93	2.44315	43.9585	3.05394	787.618
18.95	2.45554	43.9837	3.06942	787.631
18.97	2.46844	44.002	3.08556	787.643
18.99	2.48254	44.0332	3.10317	787.658
19.01	2.49639	44.0511	3.12049	787.671
19.03	2.50931	44.0721	3.13664	787.684
19.05	2.52181	44.1033	3.15227	787.697
19.07	2.53498	44.1264	3.16873	787.71
19.09	2.54947	44.1456	3.18683	787.724
19.11	2.56371	44.1755	3.20464	787.739
19.13	2.57668	44.1951	3.22085	787.752
19.15	2.58881	44.2111	3.23601	787.764
19.17	2.60144	44.2346	3.25179	787.776
19.19	2.61548	44.2564	3.26935	787.79
